J1547-0944;1.576925;37.42;236.941908;-9.735500;3.76;
J1547-5750;0.647198;148.00;236.877500;-57.841500;3.46;
J1547-5839;0.242190;222.30;236.895792;-58.652722;5.68;
J1548-4821;0.145655;126.00;237.096917;-48.363806;3.44;
J1548-4927;0.602738;141.20;237.081125;-49.461222;3.52;
J1548-5607;0.170934;315.50;237.183458;-56.126083;5.71;
J1549+2113;1.262471;24.06;237.420588;21.224139;3.03;
J1549-4848;0.288347;55.98;237.338142;-48.810400;1.31;
J1549-57;0.737500;17.70;237.270833;-57.360278;0.70;
J1549-5722;0.497772;102.00;237.449583;-57.367222;2.86;
J1550-5242;0.749659;337.70;237.512292;-52.701944;5.65;
J1550-5317;1.421124;600.00;237.520000;-53.289167;6.94;
J1550-5418;2.069833;830.00;237.725516;-54.306698;6.29;
J1551-0658;0.007090;21.60;237.780063;-6.968472;1.32;
J1551-4424;0.674060;66.50;237.950083;-44.411667;2.23;
J1551-5310;0.453394;493.00;237.921875;-53.183222;5.89;
J1552-4937;0.006284;114.19;238.055295;-49.630484;3.06;
J1552+5437;0.002428;22.90;238.222213;54.618274;2.64;
J1552-62;0.198800;120.00;238.158333;-62.241944;3.86;
B1550-54;1.081328;210.00;238.498333;-54.935000;3.79;
J1554+18;*;24.00;238.570833;18.066667;2.75;
J1554-5209;0.125230;130.80;238.613125;-52.160639;3.08;
J1554-5512;3.418039;450.00;238.668750;-55.209167;6.39;
J1555-0515;0.975410;23.46;238.917071;-5.265944;1.55;
B1552-23;0.532578;51.90;238.888268;-23.686075;3.75;
B1552-31;0.518110;73.05;238.824800;-31.572250;5.30;
J1556-5358;0.994681;436.00;239.214583;-53.981944;5.02;
J1557-4258;0.329187;144.50;239.251075;-42.970183;8.63;
J1558-5419;0.594575;657.00;239.672708;-54.323889;7.43;
J1558-5756;1.122342;127.80;239.627208;-57.940583;3.32;
J1559-44;1.169890;122.00;239.750000;-44.000000;3.25;
B1556-44;0.257056;56.10;239.923026;-44.646084;1.48;
B1555-55;0.957242;212.90;239.838750;-55.761111;4.13;
J1600-3053;0.003598;52.32;240.216264;-30.897049;2.53;
B1557-50;0.192601;260.56;240.220962;-50.739156;5.11;
B1556-57;0.194454;176.55;240.083042;-57.854083;4.18;
J1600-5916;1.247666;177.00;240.145833;-59.283056;5.66;
J1601-50;0.860777;59.00;240.350000;-50.383333;1.37;
J1601-5244;2.559357;273.00;240.363750;-52.735833;4.09;
J1601-5335;0.288457;194.60;240.478792;-53.595333;3.57;
J1602-4957;0.819990;319.00;240.575833;-49.958889;6.03;
B1558-50;0.864227;170.93;240.578333;-51.000556;3.41;
J1603+18;0.503000;29.70;240.891667;18.850000;25.00;
J1603-2531;0.283070;53.76;240.770389;-25.529819;3.41;
B1600-27;0.778313;46.20;240.783597;-27.224337;2.31;
J1603-3539;0.141909;77.50;240.973737;-35.665861;4.10;
J1603-5657;0.496077;264.07;240.881083;-56.962275;6.73;
J1603-7202;0.014842;38.05;240.898656;-72.042425;1.13;
J1604-31;0.883883;63.00;241.100000;-31.650000;3.41;
J1604-44;1.389200;175.00;241.133333;-44.716667;7.82;
J1604-4718;0.527466;52.00;241.122542;-47.313306;1.21;
B1600-49;0.327418;140.80;241.095829;-49.166206;3.22;
J1604-7203;0.341403;54.37;241.121571;-72.058461;1.59;
J1605+3249;6.880000;*;241.327167;32.821667;*;
J1605-5215;1.013609;532.00;241.329167;-52.263333;5.09;
B1601-52;0.658013;35.10;241.317917;-52.959444;0.92;
B1604-00;0.421816;10.68;241.800431;-0.544675;0.68;
J1607-5140;0.342723;533.00;241.955417;-51.671111;5.12;
J1607-6449;0.298116;89.39;241.952962;-64.828633;3.45;
J1609-1930;1.557917;37.00;242.272292;-19.502222;1.79;
J1609-4616;0.249609;150.10;242.421375;-46.272917;3.75;
J1609-5158;1.279402;1069.00;242.361250;-51.971667;6.48;
B1607-13;1.018393;49.13;242.678228;-13.372864;3.25;
J1610-17;*;52.50;242.545833;-17.833333;3.77;
J1610-5006;0.481119;416.00;242.684583;-50.111722;5.67;
J1610-5303;0.786468;380.10;242.553417;-53.063611;5.35;
J1611-01;1.296870;27.21;242.750000;-1.466667;2.02;
J1611-4811;1.296850;221.00;242.761250;-48.194167;4.91;
J1611-4949;0.666438;556.80;242.944292;-49.832556;7.23;
B1607-52;0.182492;127.57;242.763333;-52.156556;2.95;
J1611-5847;0.354550;79.90;242.963804;-58.795092;2.48;
J1612+2008;0.426646;19.51;243.097633;20.138425;1.74;
J1612-2408;0.923834;49.00;243.108583;-24.134444;2.75;
J1612-49;0.192687;439.00;243.225000;-49.450000;6.30;
J1612-5136;0.483311;1173.00;243.002500;-51.615000;6.69;
J1612-55;0.846907;312.00;243.025000;-55.150000;6.93;
J1612-5805;0.615520;171.30;243.115900;-58.091444;5.54;
B1609-47;0.382376;161.20;243.370958;-47.240500;3.52;
J1613-5211;0.457502;360.10;243.426917;-52.189167;4.71;
J1613-5234;0.655221;624.00;243.489542;-52.571389;7.43;
B1612+07;1.206801;21.39;243.670444;7.625283;1.63;
J1614-2230;0.003151;34.49;243.652113;-22.508677;1.39;
J1614-23;0.033500;52.00;243.500000;-23.250000;3.18;
J1614-38;0.464100;110.00;243.679167;-38.770833;5.53;
J1614-3937;0.407292;152.44;243.630112;-39.624667;10.66;
B1610-50;0.231694;582.80;243.547042;-50.800972;5.15;
J1614-5144;1.534008;748.00;243.690417;-51.746944;6.14;
J1614-5402;0.572592;300.00;243.709917;-54.046389;5.83;
B1612-29;2.477568;44.79;243.970146;-29.671042;1.72;
J1615-5444;0.360958;312.60;243.754962;-54.742333;6.89;
B1611-55;0.791526;124.48;243.918458;-55.616806;3.19;
J1616-5017;0.491384;194.00;244.124542;-50.287472;3.48;
J1616-5109;1.219594;1160.00;244.128750;-51.154722;6.85;
J1616-5208;1.025831;488.00;244.097500;-52.146667;6.01;
J1617-4216;3.428466;163.60;244.347417;-42.283056;7.28;
J1617-4608;0.567080;321.50;244.396271;-46.143472;11.08;
J1617-5055;0.069357;467.00;244.372083;-50.920333;4.74;
J1618-39;0.011987;117.50;244.625000;-39.316667;5.47;
J1618-4723;0.203553;134.70;244.528333;-47.388639;3.09;
J1619-42;1.023152;172.00;244.775000;-42.033333;8.15;
J1620-4927;0.171935;*;245.173000;-49.460306;*;
J1620-5414;1.156360;71.00;245.060167;-54.247694;1.98;
J1621-5039;1.084020;261.00;245.269625;-50.663500;3.92;
J1621-5243;0.371924;363.00;245.482500;-52.728889;6.43;
J1622-3751;0.731463;153.80;245.519083;-37.853861;11.60;
J1622-4332;0.916938;230.68;245.689450;-43.541167;9.77;
J1622-4347;0.457681;177.00;245.625250;-43.789278;5.04;
J1622-4802;0.265072;364.30;245.696625;-48.036972;5.32;
J1622-4845;0.735092;292.00;245.522708;-48.774722;4.24;
J1622-4944;1.072968;755.00;245.656250;-49.741667;5.41;
J1622-4950;4.327020;820.00;245.686667;-49.848444;5.57;
J1622-6617;0.023623;88.02;245.515284;-66.288049;4.05;
J1623-0841;0.503015;59.79;245.927845;-8.693500;4.65;
B1620-09;1.276446;68.18;245.823652;-9.147003;25.00;
B1620-26;0.011076;62.86;245.909257;-26.531602;3.65;
B1620-42;0.364590;295.00;245.951417;-42.947778;21.56;
J1623-4949;0.725732;183.30;245.978333;-49.817778;3.36;
J1623-5005;0.085072;*;245.767125;-50.087528;*;
J1624-4041;0.167861;*;246.041363;-40.691583;*;
J1624-4411;0.233164;139.40;246.089004;-44.192722;3.34;
J1624-4613;0.871243;224.20;246.077917;-46.217222;4.78;
J1624-4721;0.448723;364.00;246.228708;-47.357500;5.63;
J1625-4048;2.355278;145.00;246.293042;-40.805972;5.61;
J1625-4904;0.460339;684.80;246.325208;-49.076000;5.25;
J1625-4913;0.355856;720.00;246.318375;-49.229056;5.30;
J1626-44;0.308354;269.20;246.750000;-44.366667;8.31;
J1626-4537;0.370141;237.00;246.704083;-45.623778;4.98;
J1626-4807;0.293928;817.00;246.677083;-48.131667;7.51;
J1626-6621;0.450868;84.11;246.528546;-66.354242;3.81;
J1627+1419;0.490857;32.17;246.828163;14.322417;4.32;
J1627-4706;0.140746;456.10;246.869792;-47.113944;6.41;
J1627-4845;0.612331;557.80;246.793083;-48.752222;4.88;
J1627-49;0.623678;594.00;246.925000;-49.900000;5.54;
J1627-51;0.439684;201.00;246.875000;-51.133333;3.75;
J1627-5547;0.352464;166.20;246.837833;-55.797889;5.05;
J1627-5936;0.354234;99.30;246.969125;-59.615361;3.39;
J1627+86;0.395785;46.00;246.750000;86.900000;7.62;
J1628-3205;0.003210;42.10;247.029167;-32.096917;1.22;
J1628-4804;0.865971;952.00;247.111792;-48.083056;6.88;
J1628-4828;4.137539;1209.00;247.128750;-48.478333;6.73;
J1629-3636;2.988193;101.00;247.399208;-36.603611;4.23;
J1629+43;0.181173;7.30;247.250000;43.983333;0.54;
J1629-6902;0.006001;29.49;247.286544;-69.045915;0.96;
J1630+37;0.003320;14.10;247.500000;37.000000;1.18;
J1630-4719;0.559071;489.60;247.510292;-47.328333;5.45;
B1626-47;0.575971;498.00;247.656125;-47.551389;4.99;
J1631-1612;0.677684;33.77;247.968625;-16.214444;0.84;
J1631-4155;0.551241;235.00;247.826375;-41.917694;10.79;
J1632-1013;0.717637;89.90;248.225833;-10.221667;10.42;
J1632-4509;1.046810;412.00;248.058333;-45.152500;11.48;
J1632-4621;1.709154;562.90;248.207554;-46.363500;10.10;
J1632-4757;0.228564;578.00;248.069667;-47.959528;4.85;
J1632-4818;0.813453;758.00;248.165583;-48.314611;5.31;
J1633-2009;0.935557;48.19;248.480417;-20.169167;2.35;
B1630-44;0.436507;474.10;248.446033;-44.885500;14.92;
J1633-4805;0.710830;1120.00;248.272500;-48.093333;6.17;
B1629-50;0.352142;398.41;248.250429;-50.252250;6.01;
J1634-49;0.684936;649.00;248.625000;-49.866667;11.68;
J1634-5107;0.507356;372.80;248.520792;-51.129333;7.21;
J1634-5640;0.224201;148.00;248.579875;-56.680194;5.47;
J1635-1511;1.179387;54.00;248.947333;-15.197778;1.44;
B1633+24;0.490507;24.27;248.857424;24.313144;2.43;
J1635-26;0.510500;100.00;248.966667;-26.271389;10.54;
J1635-4513;1.594746;416.00;248.980833;-45.224167;7.67;
J1635-4735;2.594578;*;248.966017;-47.589808;*;
J1635-4944;0.671964;474.00;248.980833;-49.743333;7.36;
B1630-59;0.529121;134.90;248.787833;-59.911389;7.21;
J1636-4440;0.206649;449.00;249.068875;-44.673611;12.46;
J1636-4803;1.204644;503.00;249.133333;-48.065278;4.76;
J1636-4933;0.430367;542.70;249.229792;-49.552778;10.22;
J1637-4335;0.771367;608.00;249.486667;-43.595000;25.00;
J1637-4450;0.252870;470.70;249.471458;-44.840639;11.45;
B1634-45;0.118771;193.23;249.494625;-45.890917;3.44;
J1637-46;0.493091;660.40;249.400000;-46.216667;5.74;
J1637-4642;0.154027;417.00;249.307375;-46.704167;4.40;
J1637-4721;1.165741;448.00;249.297500;-47.350833;4.42;
J1637-4816;0.837365;738.00;249.494500;-48.270000;7.34;
J1638-3815;0.698261;238.00;249.655621;-38.250944;19.04;
J1638-3951;0.771130;249.00;249.564833;-39.866389;14.66;
J1638-42;0.510900;410.00;249.629167;-42.565556;22.69;
J1638-4344;1.121944;237.00;249.720333;-43.734444;4.74;
J1638-44;0.568057;494.00;249.575000;-44.666667;12.50;
J1638-4417;0.117802;436.00;249.692587;-44.284333;12.02;
J1638-4608;0.278137;424.30;249.595750;-46.136556;4.57;
J1638-4725;0.763933;552.10;249.553917;-47.425556;4.74;
J1638-5226;0.340503;170.10;249.749833;-52.449278;4.22;
J1639-4359;0.587559;258.90;249.778542;-43.997778;4.89;
B1635-45;0.529116;258.91;249.838337;-46.075861;3.79;
J1640+2224;0.003163;18.43;250.069770;22.402456;1.50;
J1640-4631;0.206443;*;250.181333;-46.526500;*;
J1640-4648;0.178352;474.00;250.198417;-46.812500;4.47;
B1636-47;0.517405;591.70;250.054958;-47.259806;4.93;
J1640-4951;0.739099;411.40;250.181500;-49.850583;9.91;
J1641-2347;1.091008;27.70;250.325167;-23.793333;0.92;
B1639+36A;0.010378;30.36;250.420333;36.454289;6.42;
B1639+36B;0.003528;29.50;250.420833;36.460278;4.88;
J1641+3627C;0.003722;30.10;250.420833;36.460278;5.74;
J1641+3627D;0.003118;30.60;250.420833;36.460278;7.74;
J1641+3627E;0.002487;30.30;250.420833;36.460278;6.23;
J1643-1224;0.004622;62.41;250.909004;-12.416300;0.79;
J1643-4505;0.237383;484.00;250.904042;-45.096111;4.76;
J1643-4522;1.347899;482.00;250.835000;-45.366944;4.62;
J1643-4550;0.717508;450.80;250.806333;-45.848472;4.38;
J1644-44;0.173911;535.10;251.150000;-44.166667;9.42;
B1641-45;0.455060;478.80;251.205337;-45.985972;4.44;
J1644-46;0.250941;405.80;251.025000;-46.433333;4.28;
J1644-4657;0.125962;718.00;251.160417;-46.960556;6.78;
B1642-03;0.387690;35.76;251.258506;-3.299533;1.32;
J1645+1012;0.410861;36.17;251.393396;10.204456;3.92;
J1646-2142;0.005850;29.80;251.575542;-21.702500;0.97;
J1646-4308;0.840680;595.00;251.730417;-43.135278;16.13;
B1643-43;0.231603;490.40;251.713750;-43.777222;6.25;
J1646-5123;0.530075;279.00;251.651458;-51.387389;10.98;
B1641-68;1.785611;43.00;251.728333;-68.530833;1.24;
J1647-3607;0.212316;224.00;251.943792;-36.117778;15.92;
J1647-4552;10.610656;*;251.792500;-45.871333;*;
J1647+66;1.599819;23.00;252.000000;66.066667;2.13;
J1648-3256;0.719455;128.28;252.025292;-32.944667;6.73;
J1648-4458;0.629632;925.00;252.054167;-44.973889;5.52;
J1648-4611;0.164950;392.90;252.091750;-46.187778;4.47;
J1648-6044;0.583765;106.20;252.213458;-60.740417;5.57;
J1649+2533;1.015257;34.46;252.434292;25.551944;25.00;
J1649-3805;0.262026;213.80;252.450925;-38.099750;8.83;
J1649-3935;0.770910;290.00;252.277833;-39.595611;13.45;
J1649-4349;0.870712;398.60;252.335083;-43.822833;4.41;
J1649-4653;0.557019;332.00;252.352083;-46.885833;4.98;
J1649-4729;0.297692;540.20;252.326125;-47.498056;14.34;
J1649-5553;0.613571;180.40;252.379583;-55.894444;11.61;
J1649+80;0.002021;31.09;252.500000;80.750000;3.01;
J1650-1654;1.749552;43.25;252.613353;-16.911142;1.05;
J1650-4126;0.308918;251.50;252.554892;-41.442722;4.87;
J1650-4341;0.309398;673.00;252.686167;-43.691889;5.33;
J1650-4502;0.380870;319.70;252.634583;-45.043694;3.92;
J1650-4601;0.127123;*;252.577583;-46.021833;*;
J1650-4921;0.156399;229.90;252.646250;-49.351078;5.32;
B1648-17;0.973394;33.46;252.882303;-17.156141;0.84;
B1648-42;0.844081;482.00;252.953292;-42.769722;5.73;
J1651-4519;0.517443;562.00;252.988333;-45.319722;5.06;
B1647-52;0.635056;179.10;252.929042;-52.382833;6.28;
B1647-528;0.890534;164.00;252.921667;-52.930000;5.80;
J1651-7642;1.755311;80.00;252.782792;-76.710972;9.22;
J1652-1400;0.305447;49.50;253.069487;-14.007611;0.60;
B1649-23;1.703739;68.41;253.243873;-24.064130;3.37;
J1652+2651;0.915803;40.80;253.012792;26.861222;25.00;
J1652-4406;7.707183;786.00;253.247917;-44.101389;5.11;
J1652-48;0.003785;187.80;253.225000;-48.750000;4.39;
J1653-2054;0.004129;56.56;253.379292;-20.915306;2.63;
B1650-38;0.305037;207.20;253.415825;-38.639111;5.45;
J1653-4030;1.019372;425.00;253.392625;-40.500389;17.22;
J1653-4249;0.612558;416.10;253.417583;-42.817583;4.48;
J1653-4315;0.419280;337.00;253.373750;-43.250278;4.00;
J1653-4854;3.059510;354.00;253.486250;-48.914167;15.22;
J1654-23;0.545360;74.50;253.512500;-23.583333;4.07;
J1654-2713;0.791822;92.31;253.598448;-27.217102;4.94;
J1654-3710;0.939165;302.00;253.685108;-37.182528;19.02;
J1654-4140;1.273945;307.00;253.597917;-41.673333;4.65;
J1654-4245;1.101555;950.00;253.592000;-42.760833;10.73;
J1655-3048;0.542936;154.30;253.852208;-30.811667;10.70;
J1655-3844;1.193439;365.00;253.911083;-38.735833;19.08;
J1656+00;1.497850;46.90;254.170833;0.433333;3.94;
J1656-3621;0.730134;229.00;254.137312;-36.366583;10.75;
J1657-4432;0.609607;375.30;254.403042;-44.538889;4.56;
J1658-4306;1.166449;845.00;254.569167;-43.113889;5.25;
J1658-47;0.369365;533.00;254.600000;-47.200000;23.44;
J1658-4958;0.416874;193.40;254.728833;-49.982889;6.09;
J1658-5324;0.002439;30.81;254.663932;-53.401945;0.88;
B1657-13;0.640958;60.37;254.971198;-13.085830;0.48;
J1659-4316;0.474381;640.90;254.984917;-43.268333;4.99;
J1659-4439;0.353293;535.00;254.914333;-44.650278;12.68;
J1700-3312;1.358307;166.97;255.220755;-33.212917;7.39;
J1700-3611;1.494091;232.70;255.205500;-36.198056;9.28;
J1700-3919;0.560504;354.30;255.092792;-39.316672;11.66;
J1700-4012;0.283792;385.00;255.160625;-40.210722;6.62;
J1700-4422;0.755535;425.00;255.223625;-44.374167;6.58;
J1700-4939;0.578363;278.00;255.094000;-49.654167;15.43;
J1701-3006A;0.005242;114.97;255.302123;-30.108381;4.88;
J1701-3006B;0.003594;115.21;255.302782;-30.113623;4.90;
J1701-3006C;0.007613;114.56;255.303608;-30.116504;4.84;
J1701-3006D;0.003418;114.22;255.306513;-30.111822;4.81;
J1701-3006E;0.003234;113.79;255.305306;-30.113025;4.76;
J1701-3006F;0.002295;113.29;255.303426;-30.114394;4.72;
J1701-3130;0.291341;130.73;255.431304;-31.510194;5.24;
B1658-37;2.454609;303.40;255.327250;-37.440278;12.94;
B1657-45;0.322909;526.00;255.371475;-45.563528;19.59;
J1701-4958;0.804304;230.00;255.303458;-49.975833;10.82;
J1702-3932;0.390328;530.00;255.559833;-39.544444;15.16;
J1702-4128;0.182136;367.10;255.718833;-41.480056;3.97;
J1702-4217;0.227565;629.00;255.651833;-42.283667;4.72;
J1702-4306;0.215507;537.00;255.613708;-43.112222;5.03;
J1702-4310;0.240524;377.00;255.612250;-43.177778;4.32;
J1702-4428;2.123506;395.00;255.719167;-44.467500;11.14;
B1700-18;0.804341;49.55;255.962867;-18.771052;1.69;
B1700-32;1.211785;110.31;255.843920;-32.696676;3.17;
J1703-38;6.443000;375.00;255.858333;-38.200000;14.19;
J1703-4442;1.747293;280.20;255.835792;-44.711667;5.24;
J1703-4851;1.396401;150.29;255.976667;-48.865500;4.11;
B1659-60;0.306323;54.00;256.061667;-60.281667;1.59;
J1705-04;0.237480;42.95;256.250000;-4.683333;0.21;
B1702-19;0.298987;22.91;256.400416;-19.110735;0.75;
J1705-3423;0.255426;146.36;256.426513;-34.395881;3.84;
J1705-3936;0.854482;598.00;256.404583;-39.608056;9.90;
J1705-3950;0.318941;207.10;256.374333;-39.849722;3.43;
J1705-4108;0.861067;1077.00;256.335000;-41.145556;5.97;
J1705-4331;0.222561;185.24;256.399642;-43.520444;3.44;
J1705-52;0.230700;163.62;256.458333;-52.604722;9.81;
J1705-6135;0.808546;95.00;256.313750;-61.587500;5.44;
J1706-3839;0.586287;626.00;256.588750;-38.664167;17.62;
J1706-4310;0.616979;656.10;256.518792;-43.172500;17.41;
J1706+59;1.476687;31.00;256.750000;59.166667;4.01;
J1706-6118;0.361921;76.13;256.540808;-61.303250;3.39;
B1703-40;0.581017;360.00;256.840533;-40.898917;3.91;
J1707-4341;0.890594;398.20;256.917125;-43.686667;12.98;
J1707-4417;5.763777;380.00;256.922542;-44.288611;14.06;
J1707-4729;0.266474;268.30;256.814779;-47.492917;12.86;
J1708-3426;0.692113;190.70;257.240785;-34.445594;4.73;
J1708-3506;0.004505;146.73;257.073426;-35.106289;3.32;
J1708-3641;0.587567;316.00;257.149625;-36.689306;11.31;
J1708-3827;1.225782;788.00;257.068750;-38.460000;20.57;
J1708-4008;11.006262;*;257.195292;-40.147900;*;
J1708-4522;1.297837;454.00;257.053833;-45.380833;23.12;
J1708-52;0.449620;102.60;257.000000;-52.000000;2.73;
B1701-75;1.191024;37.00;257.010417;-75.656389;1.32;
B1706-16;0.653054;24.89;257.360172;-16.682703;0.56;
J1709+2313;0.004631;25.35;257.274133;23.224403;2.18;
J1709-3626;0.447857;393.60;257.438125;-36.434333;16.13;
J1709-3841;0.586986;356.00;257.316625;-38.688056;4.30;
J1709-43;*;228.00;257.445833;-43.911944;4.60;
J1709-4342;1.735898;281.00;257.378750;-43.703889;6.44;
J1709-4401;0.865235;225.80;257.422458;-44.019778;4.60;
B1706-44;0.102459;75.69;257.428033;-44.485622;2.28;
J1710-2616;0.954158;111.00;257.520417;-26.276389;5.31;
J1710-37;0.792659;346.00;257.625000;-37.500000;6.05;
J1710-4148;0.286561;461.00;257.598958;-41.805278;7.36;
J1710+49;0.003220;7.09;257.620833;49.333333;0.51;
B1709-15;0.868804;59.88;257.979416;-15.161041;1.08;
J1711-3826;0.465365;376.00;257.935208;-38.437222;4.15;
J1711-4322;0.102618;191.50;257.794004;-43.381417;3.98;
B1707-53;0.899218;106.10;257.971333;-53.837778;4.50;
J1712-2715;0.255360;92.64;258.048792;-27.264722;3.15;
J1712-391;0.778149;525.00;258.145833;-39.716667;4.36;
J1712-392;0.092528;713.00;258.145833;-39.716667;4.85;
J1713+0747;0.004570;15.97;258.456388;7.793748;0.92;
J1713-3844;1.600114;544.00;258.259583;-38.741389;4.43;
J1713-3949;0.392451;342.00;258.366667;-39.816667;3.88;
J1714-1054;0.696279;51.00;258.667175;-10.903028;0.21;
J1714-3810;3.824936;*;258.523917;-38.175250;*;
J1715-3247;1.260214;164.00;258.847750;-32.791667;4.05;
J1715-3700;0.779628;449.00;258.790208;-37.001111;5.03;
J1715-3859;0.928108;817.00;258.907875;-38.990306;5.20;
J1715-3903;0.278481;313.10;258.809583;-39.050556;3.73;
J1715-4034;2.072153;254.00;258.920792;-40.572778;3.92;
J1715-4254;0.573745;407.00;258.793917;-42.915000;18.75;
J1716-3720;0.630314;682.70;259.047333;-37.345556;5.38;
J1716-4005;0.311813;435.00;259.175250;-40.090833;5.38;
J1716-4111;1.036067;245.80;259.184613;-41.185972;4.38;
J1716-4711;0.555824;287.06;259.004621;-47.183583;21.95;
J1717+03;3.901000;25.60;259.483333;3.183333;1.24;
B1714-34;0.656299;587.70;259.334352;-34.416546;25.00;
J1717-3737;0.682419;525.80;259.316500;-37.626667;4.34;
J1717-3847;1.149499;707.00;259.326667;-38.784167;5.01;
J1717-3953;1.085521;466.00;259.356458;-39.898611;6.63;
J1717-4043;0.397857;452.60;259.449625;-40.730556;14.29;
J1717-40435;0.349929;539.00;259.258333;-40.725278;16.60;
B1713-40;0.887719;306.90;259.467583;-41.054722;7.26;
J1717-5800;0.321793;125.22;259.398542;-58.001500;11.24;
J1718-3714;1.289379;833.00;259.577458;-37.237778;5.33;
J1718-3718;3.378574;371.10;259.541667;-37.314722;3.92;
J1718-3825;0.074670;247.40;259.556521;-38.421683;3.49;
J1718-41;0.548419;354.00;259.550000;-41.116667;11.60;
J1718-4539;0.590473;254.00;259.549583;-45.654417;13.79;
J1719-1438;0.005790;36.86;259.791971;-14.633595;0.34;
J1719-23;0.454000;110.00;259.904167;-23.485278;5.11;
B1715-40;0.189094;386.60;259.757175;-40.116528;9.77;
J1719-4302;0.235475;297.70;259.953208;-43.036500;13.41;
J1720+00;3.357000;46.20;260.229167;0.666667;2.56;
B1718-02;0.477715;66.98;260.238621;-2.206639;2.36;
B1717-16;1.565601;44.83;260.105026;-16.559368;0.99;
J1720+2150;1.615664;40.72;260.005417;21.836889;5.58;
J1720-2446;0.874265;103.00;260.093583;-24.774167;3.77;
B1717-29;0.620448;42.64;260.142156;-29.554511;1.09;
J1720-36;0.092132;341.00;260.225000;-36.883333;3.78;
J1720-3659;0.351125;381.60;260.008233;-36.985139;3.92;
B1718-19;1.004037;75.70;260.256168;-19.614046;3.07;
J1721-1939;0.404040;103.00;260.444208;-19.663611;5.62;
J1721-2457;0.003497;47.76;260.272908;-24.951714;1.37;
J1721+35;0.821900;22.00;260.487500;35.400000;1.95;
B1718-35;0.280424;496.00;260.386578;-35.547114;4.70;
B1718-32;0.477158;126.06;260.512313;-32.129258;2.93;
B1718-36;0.399183;416.20;260.540904;-36.548139;3.99;
B1719-37;0.236173;99.50;260.746542;-37.201028;2.48;
J1722-4400;0.218554;219.30;260.693821;-44.009222;9.07;
J1723-2837;0.001856;19.69;260.846607;-28.632547;0.72;
J1723-2852;0.625034;172.00;260.992500;-28.880833;4.76;
J1723-3659;0.202722;254.20;260.781583;-36.987194;3.50;
J1723-38;0.765796;472.00;260.750000;-38.333333;6.88;
J1724-3149;0.948237;409.00;261.186958;-31.817778;18.47;
J1724-35;1.421990;554.90;261.179167;-35.816667;4.33;
J1724-3505;1.221708;875.00;261.199542;-35.093333;6.78;
J1724-4500;1.309109;182.00;261.107500;-45.004167;7.36;
J1725-0732;0.239919;58.91;261.301171;-7.549778;0.20;
J1725-2852;1.257788;161.00;261.291250;-28.872778;4.25;
J1725-3546;1.032471;744.00;261.425833;-35.771111;4.80;
J1725-3848;2.062386;230.00;261.250417;-38.810000;4.14;
J1725-3853;0.004792;158.20;261.363625;-38.884500;3.14;
J1725-4043;1.465071;203.00;261.422583;-40.719722;4.47;
J1726-00;1.308600;57.00;261.595833;-0.250000;3.05;
J1726-31;0.123470;264.40;261.650000;-31.950000;5.14;
J1726-3530;1.110132;727.00;261.531292;-35.499444;4.75;
J1726-3635;0.287432;539.20;261.706708;-36.596000;4.84;
J1726-4006;0.882778;277.00;261.639042;-40.100556;9.40;
J1727-2739;1.293100;147.00;261.879125;-27.650139;4.00;
J1727-29;*;93.00;261.829167;-29.983333;2.61;
J1727-2946;0.027083;60.74;261.812896;-29.776888;1.88;
B1726-00;0.386004;41.09;262.145080;-0.129168;1.46;
J1728-3733;0.615538;281.50;262.192708;-37.552222;4.56;
J1728-4028;0.866343;231.00;262.115333;-40.469444;6.91;
J1729-2117;0.066293;34.49;262.295033;-21.291111;0.97;
J1730-2304;0.008123;9.62;262.590276;-23.075331;0.51;
J1730-2900;1.538427;289.00;262.534500;-29.012778;12.06;
B1727-33;0.139460;259.00;262.635663;-33.844286;3.48;
J1730-3353;3.270242;256.00;262.731583;-33.893889;3.46;
J1730-34;0.099830;628.00;262.525000;-34.800000;4.57;
J1731-1847;0.002345;106.47;262.823374;-18.792407;4.78;
J1731-3123;0.753048;354.00;262.752208;-31.395278;7.17;
J1731-3322;0.544671;877.40;262.809625;-33.379167;5.54;
B1727-47;0.829829;123.33;262.925429;-47.742933;5.57;
J1732-1930;0.483770;72.43;263.083440;-19.502382;2.63;
J1732-3131;0.196543;15.44;263.139750;-31.523056;0.64;
J1732-3426;0.332887;513.50;263.029917;-34.434722;4.34;
J1732-35;0.126690;340.00;263.125000;-35.083333;4.05;
J1732-3729;2.184001;317.00;263.086708;-37.484722;10.93;
B1729-41;0.627981;195.30;263.208333;-41.480000;7.23;
J1732-4156;0.323434;228.70;263.203583;-41.941556;11.53;
J1732-5049;0.005313;56.84;263.199028;-50.816720;1.87;
B1730-22;0.871683;41.14;263.360157;-22.477009;1.10;
J1733-2533;0.659794;242.00;263.357750;-25.553056;12.03;
J1733-2837;0.768185;225.00;263.391250;-28.625833;4.74;
J1733-3030;0.362052;636.00;263.495375;-30.513611;20.58;
J1733-3322;1.245915;524.00;263.480042;-33.367500;4.24;
B1730-37;0.337594;153.50;263.361512;-37.282008;3.15;
J1733-4005;0.561778;317.80;263.494333;-40.094361;19.19;
J1733-5515;1.011234;83.90;263.251667;-55.261111;4.22;
B1732-02;0.839394;65.05;263.690254;-2.210854;1.80;
