J0543-6851;0.708954;131.00;85.969625;-68.857028;25.00;
J0544+20;*;56.90;86.050000;20.833333;1.28;
J0545-03;1.073930;67.20;86.250000;-3.166667;2.06;
J0546+2441;2.843850;73.81;86.619833;24.689167;1.52;
J0550+09;1.745000;86.60;87.616667;9.850000;1.80;
J0554+3107;0.464961;*;88.520875;31.128056;*;
J0555+3948;1.146906;37.00;88.750000;39.800000;1.09;
J0555-7056;0.827838;73.40;88.757708;-70.946000;25.00;
J0557+1550;0.002556;102.57;89.381038;15.835013;1.83;
B0559-57;2.261365;30.00;90.193750;-57.948333;0.55;
B0559-05;0.395969;80.54;90.495759;-5.464044;2.33;
J0605+37;0.002730;21.00;91.250000;37.000000;0.19;
J0608+00;1.076200;48.00;92.204167;0.650000;1.29;
J0609+2130;0.055698;38.73;92.495359;21.500789;0.57;
J0610-2100;0.003861;60.67;92.556648;-21.007759;3.26;
J0610+37;0.443861;39.00;92.750000;37.300000;1.07;
J0611+04;1.674430;69.90;92.825000;4.100000;1.66;
J0611+1436;0.270329;45.70;92.827704;14.614444;0.89;
J0611+30;1.412090;45.26;92.816667;30.266667;1.08;
B0609+37;0.297982;27.15;93.202861;37.360377;0.53;
J0613-0200;0.003062;38.78;93.433232;-2.013118;0.93;
J0613+3731;0.619198;18.99;93.300625;37.527306;0.19;
B0611+22;0.334960;96.91;93.571500;22.510000;1.74;
J0614-3329;0.003149;37.05;93.543116;-33.498366;2.69;
J0614+83;1.039203;44.00;93.500000;83.233333;3.66;
J0621+0336;0.269954;72.59;95.296754;3.612644;1.70;
J0621+1002;0.028854;36.47;95.342143;10.044093;0.42;
J0621+25;0.002720;83.60;95.250000;25.000000;1.64;
J0621-55;*;22.00;95.175000;-56.083333;0.38;
J0622+3749;0.333208;*;95.543792;37.820444;*;
J0623+0340;0.613760;54.00;95.944829;3.668556;1.38;
B0621-04;1.039076;70.83;96.083451;-4.414015;1.94;
J0625+10;0.498397;78.00;96.437500;10.266667;1.64;
J0627+0649;0.346523;86.60;96.973452;6.831703;1.79;
J0627+0706;0.475877;138.15;96.934062;7.109250;2.29;
J0627+16;2.180000;113.00;96.804167;16.200000;1.93;
J0628+0909;1.241421;88.30;97.150762;9.153861;1.77;
B0626+24;0.476623;84.18;97.273867;24.262028;1.67;
J0630-0046;0.680575;97.30;97.612317;-0.768292;2.10;
J0630+19;1.248550;48.10;97.516667;19.616667;0.98;
B0628-28;1.244419;34.42;97.705852;-28.578550;2.07;
J0631+0646;0.110979;*;97.968250;6.770611;*;
J0631+1036;0.287800;125.36;97.864683;10.617361;2.10;
J0633+0632;0.297395;*;98.434208;6.543028;*;
J0633+1746;0.237099;2.89;98.475637;17.770252;0.14;
J0633-2015;3.253211;90.70;98.286917;-20.251972;3.68;
J0635+0533;0.033856;*;98.825000;5.553056;*;
J0636-4549;1.984597;26.31;99.140600;-45.825728;0.38;
J0636+5129;0.002869;11.11;99.020194;51.483323;0.21;
J0645+5158;0.008853;18.25;101.496175;51.970811;0.67;
J0645+80;0.657873;50.00;101.500000;80.150000;5.24;
J0646+0905;0.903913;149.00;101.629146;9.097028;2.52;
J0647+0913;1.234854;154.70;101.815333;9.233194;2.67;
J0652-0142;0.924054;116.30;103.046275;-1.708417;2.32;
B0643+80;1.214441;33.32;103.312875;80.866728;2.35;
J0656-2228;1.224754;32.39;104.125862;-22.473764;1.62;
J0656-5449;0.183157;67.50;104.204125;-54.820811;0.37;
J0658+0022;0.563295;122.00;104.563371;0.376472;2.36;
B0656+14;0.384891;14.08;104.950558;14.239306;0.16;
B0655+64;0.195671;8.77;105.157508;64.303111;0.41;
J0702-4956;0.665994;98.70;105.663750;-49.942833;0.54;
J0709-5923;0.485268;65.00;107.385554;-59.398778;0.37;
J0711+0931;1.214090;46.24;107.900750;9.523611;1.17;
J0711-6830;0.005491;18.41;107.975788;-68.513171;0.11;
J0719-2545;0.974725;253.89;109.780750;-25.750064;9.81;
J0720-3125;8.391116;*;110.104008;-31.430579;*;
J0721-2038;0.015542;76.10;110.428770;-20.635295;2.68;
J0725-1635;0.424311;98.98;111.251684;-16.596060;2.78;
J0726-2612;3.442308;69.40;111.533833;-26.210583;2.90;
J0729-1448;0.251659;92.30;112.318542;-14.810222;2.69;
B0727-18;0.510160;61.29;112.384798;-18.611875;2.40;
J0733-2345;1.796250;194.00;113.352500;-23.765611;4.18;
J0734-1559;0.156250;*;113.500000;-15.983333;*;
J0736-6304;4.862874;19.40;114.083375;-63.071111;0.10;
J0737-2202;0.320366;95.70;114.433629;-22.034811;3.06;
J0737-3039A;0.022699;48.92;114.463535;-30.661310;1.09;
J0737-3039B;2.773461;48.92;114.463535;-30.661310;1.09;
J0737+69;6.824240;16.00;114.250000;69.233333;1.04;
B0736-40;0.374920;160.80;114.634704;-40.711372;1.56;
J0740+41;0.003139;20.83;115.250000;41.066667;0.51;
J0740+6620;0.002886;14.96;115.190825;66.342681;0.93;
B0740-28;0.166762;73.78;115.704408;-28.378822;3.11;
B0743-53;0.214836;122.30;116.259583;-53.856111;0.57;
J0746-4529;2.791025;134.57;116.747992;-45.490736;0.81;
J0746+66;0.407670;28.00;116.500000;66.600000;1.88;
J0749-4247;1.095452;104.59;117.456979;-42.795039;0.56;
